city,cityname,country,countryname,gdp,lat,long,kgclzone,kgclzone1,kgclzone2,region,oldpopprop,GDP,avgtmean,totalrange,E_GR_AV00,E_GR_AV14,B00,B15,coef,var,conv,mean_pm
brsb.aus8809,Brisbane,aus8809,Australia,20536.4,-27.4667,153.0333,Cfa,C,Cf,Australia,10.8,37519.85,20.3098440296599,16.15,0.43443982,0.419085079,296.188446,303.5982361,0.0271884319368041,0.000541157315194499,TRUE,6.16863796753172
mlbr.aus8809,Melbourne,aus8809,Australia,20536.4,-37.7833,144.9667,Cfb,C,Cf,Australia,12.22,37744.645,15.7187611863973,21.25,0.439155377,0.402524714,1092.088745,1141.572632,-0.00746147712227812,0.000109044020141151,TRUE,7.64489116517286
sydn.aus8809,Sydney,aus8809,Australia,20536.4,-33.8683,151.2086,Cfa,C,Cf,Australia,11.78,39964.66,18.3110905139351,16.75,0.436232586,0.428184456,896.1484985,921.5794678,0.0108532927895504,3.59974710982286e-05,TRUE,7.25072595281307
abbt.can8615,Abbotsford,can8615,Canada,22109.6,49.0546,-122.328,Cfb,C,Cf,North America,13.74,35381.3333333333,10.6325625228185,27.228,0.508232866,0.489243078,29.38661194,30.92357445,0.0559290026915609,0.000395456982442783,TRUE,5.78198728227113
clgr.can8615,Calgary,can8615,Canada,22109.6,51.0544,-114.0669,Dfc,D,Df,North America,9.3,57369.885,4.71865912202245,45.2784,0.383861424,0.380766119,270.0675659,303.4830627,3.89816754866117e-05,5.34424126120017e-05,TRUE,9.67095709318582
edmn.can8615,Edmonton,can8615,Canada,22109.6,53.5472,-113.5006,Dfb,D,Df,North America,11,57369.885,3.27653408779775,48.03,0.407012999,0.387360988,292.6842651,333.3640442,0.0111912489014582,2.96316363779766e-05,TRUE,9.83594529968075
hlfx.can8615,Halifax,can8615,Canada,22109.6,44.6479,-63.5744,Dfb,D,Df,North America,10.7,30070,7.06253372273433,37.13,0.469146919,0.458460783,47.60369492,51.12654114,0.0589582654636079,0.000800598161992732,TRUE,6.11160496691939
kngs.can8615,Kingston,can8615,Canada,22109.6,44.2314,-76.4847,Dfb,D,Df,North America,14.16,37342.6666666667,7.67118408323446,42.7964,0.472339508,0.467285821,29.25401878,31.38123131,0.0379327819774004,0.000266869409042019,TRUE,8.3848715707511
lndo.can8615,London Ontario,can8615,Canada,22109.6,43.0333,-81.15,Dfb,D,Df,North America,12.63,37342.6666666667,8.12347777676371,40.5632,0.487614081,0.523712446,99.20558167,106.0415726,0.0219855769484445,9.69506585775571e-05,TRUE,9.63257861634347
mntr.can8615,Montreal,can8615,Canada,22109.6,45.5081,-73.555,Dfb,D,Df,North America,13,34202.26,7.20805165647531,45.4844,0.428482297,0.455901792,709.8900757,774.961853,0.0128979236016051,1.16937195608535e-05,TRUE,10.7707129204745
